year,patents
1976,70199
1977,65206
1978,66074
1979,48839
1980,61807
1981,65771
1982,57874
1983,56861
1984,67212
1985,71665
1986,70863
1987,82943
1988,77936
1989,95566
1990,90421
1991,96561
1992,97473
1993,98385
1994,101695
1995,101432
1996,109654
1997,112020
1998,147576
1999,153592
2000,157595
2001,166158
2002,167400
2003,169077
2004,164384
2005,143891
2006,173822
2007,157331
2008,157788
2009,167463
2010,219848
2011,224871
2012,253633
2013,278518
2014,301643
2015,299382
2016,304126
2017,320003
2018,308853
2019,355923
2020,353701
2021,329097
2022,324698
2023,313707
2024,325602
2025,325822
